,name,url,price
48,Le Chat - Food & Cocktail,https://www.zomato.com/grande-lisboa/le-chat-food-cocktail-santos-lisboa/info,38
49,Osteria,https://www.zomato.com/grande-lisboa/osteria-madragoa-lisboa/info,35
50,Miss Jappa,https://www.zomato.com/grande-lisboa/miss-jappa-príncipe-real-lisboa/info,40
51,The Green Affair - Saldanha,https://www.zomato.com/grande-lisboa/the-green-affair-saldanha-saldanha-lisboa/info,30
52,À Parte,https://www.zomato.com/grande-lisboa/à-parte-saldanha-lisboa/info,45
53,Pasta Non Basta,https://www.zomato.com/grande-lisboa/pasta-non-basta-praça-de-espanha-lisboa/info,35
54,A Cevicheria,https://www.zomato.com/acevicheria/info,60
55,Leitaria Lisboa,https://www.zomato.com/grande-lisboa/leitaria-lisboa-rato-lisboa/info,8
56,Taberna Sal Grosso,https://www.zomato.com/grande-lisboa/taberna-sal-grosso-santa-apolónia-lisboa/info,45
57,La Trattoria,https://www.zomato.com/grande-lisboa/la-trattoria-rato-lisboa/info,40
58,Cartel 36,https://www.zomato.com/grande-lisboa/cartel-36-parque-das-nações-lisboa/info,50
59,Solar dos Presuntos,https://www.zomato.com/grande-lisboa/solar-dos-presuntos-avenida-da-liberdade-lisboa/info,70
60,Pop Cereal Café,https://www.zomato.com/popcerealcafe/info,8
61,Cantinho do Avillez,https://www.zomato.com/cantinhodoavillez/info,80
62,C.O.W - Beef & Cocktails,https://www.zomato.com/grande-lisboa/c-o-w-beef-cocktails-santos-lisboa/info,40
63,Dom Queijo,https://www.zomato.com/grande-lisboa/dom-queijo-alvalade-lisboa/info,50
64,By The Wine,https://www.zomato.com/grande-lisboa/by-the-wine-chiado-lisboa/info,40
65,La Paparrucha,https://www.zomato.com/grande-lisboa/la-paparrucha-príncipe-real-lisboa/info,80
66,Brick,https://www.zomato.com/grande-lisboa/brick-1-anjos-lisboa/info,16
67,NATÁBUA,https://www.zomato.com/grande-lisboa/natábua-alvalade-lisboa/info,20
68,Panda Cantina,https://www.zomato.com/grande-lisboa/panda-cantina-baixa-lisboa/info,25
69,Paço de Carnide,https://www.zomato.com/grande-lisboa/paço-de-carnide-carnide-lisboa/info,30
70,Este Oeste,https://www.zomato.com/grande-lisboa/este-oeste-belém-lisboa/info,50
71,Noobai,https://www.zomato.com/grande-lisboa/noobai-bica-lisboa/info,34
72,Memoria,https://www.zomato.com/grande-lisboa/memoria-campo-de-ourique-lisboa/info,35
73,Orteá - Vegan Collective,https://www.zomato.com/grande-lisboa/orteá-vegan-collective-cais-do-sodré-lisboa/info,30
74,Kin,https://www.zomato.com/grande-lisboa/kin-mouraria-lisboa/info,40
75,Pho-Pu,https://www.zomato.com/grande-lisboa/pho-pu-mouraria-lisboa/info,20
76,UDON,https://www.zomato.com/grande-lisboa/udon-saldanha-lisboa/info,30
77,Fábrica dos Sabores,https://www.zomato.com/grande-lisboa/fábrica-dos-sabores-saldanha-lisboa/info,24
78,Aquele Lugar Que Não Existe,https://www.zomato.com/grande-lisboa/aquele-lugar-que-não-existe-marvila-lisboa/info,25
79,Pharmacia Felicidade,https://www.zomato.com/grande-lisboa/pharmacia-felicidade-bica-lisboa/info,45
80,Mesa do Bairro,https://www.zomato.com/grande-lisboa/mesa-do-bairro-areeiro-lisboa/info,40
81,Pizzaria Luzzo,https://www.zomato.com/grande-lisboa/pizzaria-luzzo-avenida-da-liberdade-lisboa/info,35
82,Seen,https://www.zomato.com/grande-lisboa/seen-avenida-da-liberdade-lisboa/info,100
83,Sushi Factory,https://www.zomato.com/grande-lisboa/sushi-factory-alcântara-lisboa/info,40
84,Frutaria Café,https://www.zomato.com/grande-lisboa/frutaria-café-baixa-lisboa/info,20
85,Hikidashi - Taberna Japonesa,https://www.zomato.com/grande-lisboa/hikidashi-taberna-japonesa-campo-de-ourique-lisboa/info,80
86,O Cantinho do Aziz,https://www.zomato.com/grande-lisboa/o-cantinho-do-aziz-mouraria-lisboa/info,25
87,Bistro 100 Maneiras,https://www.zomato.com/grande-lisboa/bistro-100-maneiras-chiado-lisboa/info,100
88,Tasquinha do Lagarto,https://www.zomato.com/grande-lisboa/tasquinha-do-lagarto-campolide-lisboa/info,25
89,Mex Factory,https://www.zomato.com/grande-lisboa/mex-factory-alcântara-lisboa/info,30
90,The Fifties American Diner,https://www.zomato.com/grande-lisboa/the-fifties-american-diner-parque-das-nações-lisboa/info,30
91,The Decadente,https://www.zomato.com/grande-lisboa/the-decadente-bairro-alto-lisboa/info,50
92,Ferroviário,https://www.zomato.com/grande-lisboa/ferroviário-1-santa-apolónia-lisboa/info,50
93,The Club Steakhouse,https://www.zomato.com/grande-lisboa/the-club-steakhouse-parque-das-nações-lisboa/info,50
94,Taberna A Preciosa - Petiscos,https://www.zomato.com/grande-lisboa/taberna-a-preciosa-petiscos-lumiar-lisboa/info,40
95,Kokoro Ramen & Sushi Bar,https://www.zomato.com/grande-lisboa/kokoro-ramen-sushi-bar-arroios-lisboa/info,20
96,L'Éclair,https://www.zomato.com/grande-lisboa/léclair-saldanha-lisboa/info,15
97,DownUnder by Justin Jennings,https://www.zomato.com/downunder/info,50
98,Kaffeehaus,https://www.zomato.com/grande-lisboa/kaffeehaus-chiado-lisboa/info,30
99,Al Garage,https://www.zomato.com/grande-lisboa/al-garage-marquês-de-pombal-lisboa/info,40
100,Matateu,https://www.zomato.com/grande-lisboa/matateu-restelo-lisboa/info,30
101,Suntory,https://www.zomato.com/grande-lisboa/suntory-campolide-lisboa/info,60
102,Ohana by Naz,https://www.zomato.com/grande-lisboa/ohana-by-naz-parque-das-nações-lisboa/info,30
103,Água pela Barba,https://www.zomato.com/grande-lisboa/água-pela-barba-bica-lisboa/info,40
104,Mezze,https://www.zomato.com/grande-lisboa/mezze-arroios-lisboa/info,35
105,Dote,https://www.zomato.com/grande-lisboa/dote-avenida-da-liberdade-lisboa/info,25
106,Tease,https://www.zomato.com/grande-lisboa/tease-príncipe-real-lisboa/info,12
107,Don Costini,https://www.zomato.com/grande-lisboa/don-costini-saldanha-lisboa/info,40
108,Bonsai,https://www.zomato.com/grande-lisboa/bonsai-príncipe-real/info,50
109,Treestory,https://www.zomato.com/grande-lisboa/treestory-pena-lisboa/info,50
110,Dear Breakfast,https://www.zomato.com/grande-lisboa/dear-breakfast-são-bento-lisboa/info,15
111,Os Tibetanos,https://www.zomato.com/grande-lisboa/os-tibetanos-avenida-da-liberdade-lisboa/info,40
